version https://git-lfs.github.com/spec/v1
oid sha256:24c72ec44036ff9ad371650afed24da5f366ed220684d17676c080fdfd6be91c
size 207193
time,symbol,open,close,high,low,volume,category
2019-11-12,SENSITIVE,252.53,251.57,252.67,251.11,415983000,index
2019-11-13,SENSITIVE,251.57,250.18,251.65,249.71,262379000,index
2019-11-14,SENSITIVE,250.18,250.06,251.51,249.86,222196000,index
2019-11-17,SENSITIVE,250.06,249.13,250.73,248.59,313896000,index
2019-11-18,SENSITIVE,249.13,248.6,249.61,248.28,309523000,index
2019-11-19,SENSITIVE,248.65,248.91,249.19,248.28,228632000,index
2019-11-20,SENSITIVE,248.92,248.67,251.13,248.41,306270000,index
2019-11-21,SENSITIVE,248.67,246.89,249.05,246.18,302265000,index
2019-11-24,SENSITIVE,246.89,244.86,247.08,244.65,298348000,index
2019-11-25,SENSITIVE,244.86,245.38,245.87,243.75,264433000,index
2019-11-26,SENSITIVE,245.38,245.49,246.05,244.93,213992000,index
2019-11-27,SENSITIVE,245.45,247.23,247.23,245.18,233589000,index
2019-11-28,SENSITIVE,247.31,246.65,247.93,246.65,282132000,index
2019-12-01,SENSITIVE,246.65,246.15,246.79,245.7,215934000,index
2019-12-02,SENSITIVE,246.14,245.71,246.45,245.56,210240000,index
2019-12-03,SENSITIVE,245.84,246.34,246.84,245.66,220453000,index
2019-12-04,SENSITIVE,246.34,247.86,247.86,246.34,322399000,index
2019-12-05,SENSITIVE,247.91,248.77,249.53,247.91,372473000,index
2019-12-08,SENSITIVE,248.77,250.52,250.6,247.86,264352000,index
2019-12-09,SENSITIVE,250.51,253.17,254.24,249.66,508380000,index
2019-12-10,SENSITIVE,253.26,253.5,255.36,252.53,512003000,index
2019-12-11,SENSITIVE,254.63,255.19,256.49,253.78,515824000,index
2019-12-12,SENSITIVE,255.26,255.6,256.8,254.64,764121000,index
2019-12-15,SENSITIVE,255.6,255.67,258.31,255.19,672436000,index
2019-12-16,SENSITIVE,255.67,253.52,256.49,253.14,406578000,index
2019-12-17,SENSITIVE,253.55,253.28,254.49,252.65,287284000,index
2019-12-18,SENSITIVE,253.27,252.47,253.95,252.19,300277000,index
2019-12-19,SENSITIVE,252.47,251.84,252.94,251.84,396196000,index
2019-12-22,SENSITIVE,251.83,251.59,252.25,250.97,333579000,index
2019-12-23,SENSITIVE,251.59,254.53,254.7,251.59,567643000,index
2019-12-24,SENSITIVE,254.79,254.21,255.89,254.14,667528000,index
2019-12-25,SENSITIVE,254.21,254.72,255.58,254.21,469835000,index
2019-12-26,SENSITIVE,254.87,254.36,255.68,254.09,536932000,index
2019-12-29,SENSITIVE,254.36,253.39,254.87,253.01,374475000,index
2019-12-30,SENSITIVE,253.38,253.33,253.38,252.01,607100000,index
2019-12-31,SENSITIVE,253.35,252.31,254.43,251.66,444806000,index
2020-01-01,SENSITIVE,252.44,253.28,253.29,251.8,391918000,index
2020-01-02,SENSITIVE,253.03,252.18,253.21,251.99,436511000,index
2020-01-05,SENSITIVE,251.84,255.69,257.18,251.17,717011000,index
2020-01-06,SENSITIVE,255.95,260.67,260.67,255.95,853981000,index
2020-01-07,SENSITIVE,260.66,264.81,265.09,260.66,1170750000,index
2020-01-08,SENSITIVE,265.19,263.31,266.75,262.82,762966000,index
2020-01-09,SENSITIVE,263.31,264.26,265.42,262.76,651292000,index
2020-01-12,SENSITIVE,264.27,272.73,272.73,264.27,1384340000,index
2020-01-13,SENSITIVE,274.31,276.28,278.98,273.28,1793440000,index
2020-01-14,SENSITIVE,276.28,274.28,277.6,273.17,953419000,index
2020-01-15,SENSITIVE,274.28,278.97,279.93,274.28,943145000,index
2020-01-16,SENSITIVE,278.97,282.87,283.84,278.97,1790000000,index
2020-01-19,SENSITIVE,282.87,288.39,288.94,282.87,2204130000,index
2020-01-20,SENSITIVE,287.91,283.53,292.02,281.78,2217940000,index
2020-01-21,SENSITIVE,283.53,284.43,287.18,282.93,1345880000,index
2020-01-22,SENSITIVE,285.39,282.3,285.95,282.59,1605550000,index
2020-01-23,SENSITIVE,282.62,278.72,283.96,278.36,1446610000,index
2020-01-26,SENSITIVE,278.95,274.62,279.25,274.44,1080420000,index
2020-01-27,SENSITIVE,274.62,279.15,279.15,274.35,945574000,index
2020-01-28,SENSITIVE,279.15,278.67,282.11,278.44,1490590000,index
2020-01-29,SENSITIVE,278.67,278.19,279.82,277.65,1339860000,index
2020-01-30,SENSITIVE,278.19,281.76,282.8,278.19,2111940000,index
2020-02-02,SENSITIVE,281.77,286.75,287.47,281.77,2204130000,index
2020-02-03,SENSITIVE,287.26,287.91,288.91,285.67,1775210000,index
2020-02-04,SENSITIVE,288.84,284.99,288.84,284.54,1798400000,index
2020-02-05,SENSITIVE,285.62,285.92,286.36,284.7,1169270000,index
2020-02-06,SENSITIVE,285.58,284.05,286.73,283.37,1142220000,index
2020-02-09,SENSITIVE,283.71,281.04,283.88,280.6,986021000,index
2020-02-10,SENSITIVE,281.38,281.62,282.88,280.18,868652000,index
2020-02-11,SENSITIVE,281.63,285.37,285.46,281.63,1592060000,index
2020-02-12,SENSITIVE,285.15,285.56,287.77,285.06,1603610000,index
2020-02-13,SENSITIVE,285.76,284.24,287.08,284.11,2001790000,index
2020-02-16,SENSITIVE,284.24,285.82,285.82,283.72,2247240000,index
2020-02-17,SENSITIVE,286.02,293.86,294.09,286.02,2884630000,index
2020-02-18,SENSITIVE,294.23,294.95,298.23,292.97,2276530000,index
2020-02-19,SENSITIVE,294.64,295.94,296.73,293.27,1672770000,index
2020-02-20,SENSITIVE,296.01,300.44,300.44,296.01,3014890000,index
2020-02-23,SENSITIVE,300.7,317.5,317.95,300.7,3918300000,index
2020-02-24,SENSITIVE,318.07,318.0,326.37,317.39,3709420000,index
2020-02-25,SENSITIVE,319.2,326.56,326.35,312.64,3509440000,index
