source,target,correlation,abs_correlation,relationship_type,source_price_movement,source_close,source_traded_quantity,source_traded_amount,target_price_movement,target_close,target_traded_quantity,target_traded_amount
ADBL,PCBL,0.8850638704014886,0.8850638704014886,positive,-0.20342532005689912,362.52362162162166,27598.890753911808,11231082.619596016,-0.21449034175334294,346.187705794948,48546.420208023774,16524046.398044577
GBIME,SANIMA,0.8847177162946183,0.8847177162946183,positive,-0.7500305227012591,351.5088897367417,90794.59824494467,28794428.18250668,-0.36051500789889424,386.9336966824644,50803.10363349131,19541632.675807267
MBL,PCBL,0.8835533456145266,0.8835533456145266,positive,-0.1307960199004974,299.20033167495853,49048.77479270315,14504305.198507464,-0.21449034175334294,346.187705794948,48546.420208023774,16524046.398044577
HBL,SANIMA,0.8818047229051098,0.8818047229051098,positive,0.048867741935483926,625.2376387096774,18655.07612903226,6239165.116203225,-0.36051500789889424,386.9336966824644,50803.10363349131,19541632.675807267
GBIME,KBL,0.8806295758768845,0.8806295758768845,positive,-0.7500305227012591,351.5088897367417,90794.59824494467,28794428.18250668,-0.43260321462338475,274.51987078474633,98031.28931610464,23978504.804639142
EBL,SBL,0.8806030539817733,0.8806030539817733,positive,-0.10065378900445848,1172.2005943536403,25822.008023774146,22335815.487369984,-0.2928055987558324,418.21465940902016,41931.46469673406,17510669.796395026
MBL,SBI,0.8803632747382938,0.8803632747382938,positive,-0.1307960199004974,299.20033167495853,49048.77479270315,14504305.198507464,-0.015884101040119458,667.0700624071321,19689.881426448737,9661550.389687965
EBL,NABIL,0.8737843176754015,0.8737843176754015,positive,-0.10065378900445848,1172.2005943536403,25822.008023774146,22335815.487369984,-1.166145616641902,1225.6920386329866,34434.9676077266,32035156.437708765
MBL,SCB,0.8726513110539105,0.8726513110539105,positive,-0.1307960199004974,299.20033167495853,49048.77479270315,14504305.198507464,-0.26199405646359597,1290.785753343239,14144.993164933136,11906390.341482911
SANIMA,SCB,0.8715379087066601,0.8715379087066601,positive,-0.36051500789889424,386.9336966824644,50803.10363349131,19541632.675807267,-0.26199405646359597,1290.785753343239,14144.993164933136,11906390.341482911
