S. No.,Banks,Year(Month),Solvency Core Capital,Total C a pital Fund,CCAR# (In %),CAR# (In %),Liquidity Total Deposit,LCY Deposit,Total Loan,L C Y L o an,CCD R a t i o * (In %),Net Liquidity (In %),SLR (In %),Base Rate (In %),Spread (In %),NPL* (In %),Net NPL (In %),Total Priority Sector Loan,Public Deposit
,Sub Total,2078(12),443782,571818,10.32,13.29,3794845,3683989,3615598,3566621,90.96,21.22,16.86,9.33,3.62,1.1,,24.54,2150410
,Grand Total,2078(12),524645,670121,10.56,13.49,4389182,4276475,4197872,4148710,90.84,21.22,17.28,9.17,3.63,1.3,,27.64,2570588
1,Nepal Bank Ltd.,2079(03),25059,31155,12.09,15.04,197155,196831,180828,180825,87.56,22.98,22.77,8.25,4.08,1.9,,35.1,162810
2,Rastriya Banijya Bank Ltd.,2079(03),29452,35359,11.63,13.97,259381,259143,229527,229527,85.89,28.59,21.78,7.63,4.29,2,,37.8,177459
3,Agricultural Development Bank Ltd.,2079(03),32207,37536,14.02,16.34,166711,166575,178394,178394,88.78,25.96,25.12,8.9,4.37,1.68,,60,107405
,Sub Total,2079(03),86719,104050,12.57,15.08,623247,622548,588750,588747,87.25,26.11,22.99,8.26,4.25,1.86,,43.88,447673
4,Nabil Bank Ltd.,2079(03),44037,54343,10.89,13.44,329571,317638,309071,303639,90.13,22.79,22.78,8.69,4.22,1.54,,24.5,168109
5,Nepal Investment Bank Ltd.,2079(03),29560,38103,12.41,15.99,186212,173368,168160,163140,85.14,32.15,23.61,8.59,4,1.47,,20.47,103449
6,Standard Chartered Bank Nepal Ltd.,2079(03),16910,18729,14.45,16,101946,81294,89616,88110,87.44,28.24,15.39,8.81,4.23,0.59,,19.23,52806
7,Himalayan Bank Ltd.,2079(03),20567,22889,10.45,11.63,171488,159518,156446,153277,88.8,23.48,25.21,9.96,4.02,0.77,,22.59,85532
8,Nepal SBI Bank Ltd.,2079(03),15965,20359,10.44,13.32,119658,118255,110694,106549,86.87,27.8,21.51,9.7,4.36,0.15,,24.59,68146
9,Everest Bank Ltd.,2079(03),19928,21960,10.84,11.95,173472,170896,154557,153687,85.77,33.67,22.79,9.67,4.06,0.24,,21.67,109659
10,Bank of Kathmandu Ltd.,2079(03),15833,17165,11.93,12.94,110962,109646,106724,105699,88.91,26.27,18.4,9.83,3.61,1.96,,23.46,59226
11,Nepal Credit and Commerce Bank Ltd.,2079(03),15172,19992,9.2,12.12,141486,138957,126927,125662,86.3,24.39,16.26,9.54,4.22,1.93,,29.36,66290
12,NIC Asia Bank Ltd.,2079(03),22863,34573,8.93,13.51,294977,294529,268236,268236,86.26,20.3,19.7,9.25,4.4,0.49,,23.66,171610
13,Machhapuchhre Bank Ltd.,2079(03),13704,20965,8.81,13.47,148698,142398,129555,128705,81.6,25.99,17.65,9.93,4.33,0.84,,25.08,92188
14,Kumari Bank Ltd.,2079(03),19297,25013,10.01,12.98,182962,178657,159444,157581,85.12,24.81,15.79,10.57,4.36,0.96,,24.88,86679
15,Laxmi Bank Ltd.,2079(03),15179,21294,9.09,12.76,139945,136912,132569,131093,86.72,21.88,13.68,9.98,3.94,0.89,,22.12,88169
16,Siddharth Bank Ltd.,2079(03),19772,28327,9.14,13.09,196484,195150,186091,184662,86.78,21.51,18.29,9.45,4.37,1.03,,25.32,114733
