bank_code,year_month,close,high,low,per_change,traded_quantity,traded_amount
PCBL,2023-12,197.61,215.0,185.0,0.28,1724453.0,345580725.9
PCBL,2024-01,205.41,221.0,193.1,0.08,1887341.0,390196042.2
PCBL,2024-02,199.04,208.0,189.0,-0.38,832454.0,165647932.3
PCBL,2024-03,195.09,204.7,186.0,0.12,850563.0,164919390.8
PCBL,2024-04,191.57,199.2,186.0,0.04,1164443.0,221950436.4
PCBL,2024-05,198.82,218.0,188.3,0.14,1612451.0,328795160.3
PCBL,2024-06,198.82,210.0,191.6,-0.18,1004577.0,199116517.7
PCBL,2024-07,240.63,312.0,190.1,1.99,7560147.0,2006016113.6
PCBL,2024-08,295.21,329.0,265.0,-0.23,7341109.0,2197983694.7
PCBL,2024-09,273.98,301.9,260.0,-0.31,2611154.0,722207936.3
PCBL,2024-10,288.66,305.7,269.0,0.35,2244050.0,648377595.4
PCBL,2024-11,277.68,291.9,266.6,-0.27,1803905.0,503024515.7
PCBL,2024-12,258.62,277.4,248.9,-0.24,1563785.0,404611261.2
PCBL,2025-01,246.75,260.0,236.0,-0.46,1010345.0,248295857.8
PCBL,2025-02,246.87,270.0,237.0,0.53,1143802.0,284732058.3
PCBL,2025-03,257.62,280.0,245.1,-0.11,1869472.0,486522611.2
PCBL,2025-04,249.98,267.0,238.0,-0.27,1375318.0,345565957.8
PCBL,2025-05,243.33,261.1,229.5,0.43,1492746.0,367332224.4
PCBL,2025-06,240.61,262.0,231.0,-0.24,1136740.0,275165308.5
PCBL,2025-07,269.64,290.0,240.1,0.44,4404372.0,1198743952.6
PCBL,2025-08,256.14,274.4,249.0,-0.34,1787045.0,460237546.32
PCBL,2025-09,249.55,259.1,226.0,0.08,627939.0,156642559.0
PCBL,2025-10,237.87,253.0,228.0,-0.42,682028.0,162645602.5
PCBL,2025-11,246.97,262.0,235.2,0.28,1279677.0,316142605.3
PCBL,2025-12,250.54,265.0,240.1,0.21,1163413.0,294646852.7
PCBL,2026-01,243.36,264.9,235.0,-0.1,1460913.0,360277397.6
